Country,ISO,Year,CO2,Per_Capita_CO2,Renewable_Electricity_Share,GDP_Growth,Carbon_Rate_2023,comp_CO2,comp_PerCap,comp_RenewWeak,comp_GDPWeak,comp_PolicyWeak,Risk_Score,Risk_Category,Flag_Renewable_Imputed,Flag_GDP_Imputed,Flag_CarbonRate_Imputed
Namibia,NAM,2021,4.014822,1.586792,95.5414,3.5,,36.036,33.7838,5.4054,70.9459,60.8108,35.64,Moderate,False,False,True
New Caledonia,NCL,2021,5.496273,19.097542,13.690476,,,40.5405,97.2973,69.8198,50.2252,60.8108,62.69,High,False,True,True
Niger,NER,2021,2.698898,0.106876,11.111112,1.4,,33.3333,4.0541,73.8739,86.4865,60.8108,48.33,Moderate,False,False,True
Nigeria,NGA,2021,136.986784,0.641921,25.64347,3.6,-22.881737,84.2342,21.1712,54.955,69.8198,98.1982,63.54,High,False,False,False
Nicaragua,NIC,2021,5.05977,0.738594,54.643627,10.3,,39.6396,23.4234,25.6757,11.7117,60.8108,30.83,Low,False,False,True
Niue,NIU,2021,0.011922,6.154972,,,,2.2523,77.4775,50.0,50.2252,60.8108,42.29,Moderate,True,True,True
Netherlands,NLD,2021,141.045431,8.058958,33.278515,6.2,110.71052,84.6847,84.2342,39.6396,32.2072,1.3514,57.13,High,False,False,False
Norway,NOR,2021,40.918553,7.565853,99.543526,3.9,101.15076,72.973,81.982,4.0541,67.5676,2.7027,49.71,Moderate,False,False,False
Nepal,NPL,2021,14.173067,0.471885,100.0,4.8,,58.1081,17.1171,0.9009,58.5586,60.8108,35.95,Moderate,False,False,True
Nauru,NRU,2021,0.059611,4.764679,0.0,2.9,,4.0541,67.5676,95.9459,77.7027,60.8108,56.45,High,False,False,True
New Zealand,NZL,2021,33.789825,6.587061,80.723175,6.1,33.595364,68.018,79.2793,11.7117,33.3333,15.7658,45.77,Moderate,False,False,False
Oman,OMN,2021,80.991181,17.916536,0.43763673,3.1,,79.7297,96.3964,88.2883,76.1261,60.8108,82.77,Very High,False,False,True
Pakistan,PAK,2021,229.512397,0.991834,29.739628,5.8,,87.8378,26.5766,42.7928,36.2613,60.8108,53.89,Moderate,False,False,True
Panama,PAN,2021,13.03162,2.994902,74.44147,15.8,6.9162421,55.8559,50.9009,14.8649,2.7027,25.2252,33.58,Low,False,False,False
Panama Canal Zone,PCZ,2021,0.0,0.0,,,,0.6757,0.6757,50.0,50.2252,60.8108,26.45,Low,True,True,True
Peru,PER,2021,56.282,1.669323,60.61232,13.3,7.6936641,75.6757,35.5856,23.8739,4.5045,24.7748,38.94,Moderate,False,False,False
Philippines,PHL,2021,144.263875,1.266802,22.125694,5.7,9.8803492,85.1351,30.6306,60.3604,37.6126,22.5225,54.65,Moderate,False,False,False
Palau,PLW,2021,0.238444,13.229228,,-13.4,,11.7117,93.2432,50.0,99.0991,60.8108,55.61,High,True,False,True
Papua New Guinea,PNG,2021,8.509555,0.85528,26.54321,0.1,,49.5495,24.3243,54.5045,91.4414,60.8108,53.15,Moderate,False,False,True
Poland,POL,2021,328.579763,8.577376,17.094591,6.9,68.158066,91.8919,86.9369,66.2162,25.4505,9.009,66.23,High,False,False,False
Puerto Rico,PRI,2021,0.0,0.0,2.7960527,0.2,,0.6757,0.6757,85.1351,90.991,60.8108,41.35,Moderate,False,False,True
North Korea,PRK,2021,56.380104,2.170811,83.183395,,,76.5766,40.991,10.3604,50.2252,60.8108,47.38,Moderate,False,True,True
Portugal,PRT,2021,40.797216,3.964704,63.814728,5.5,87.920753,72.5225,59.009,21.1712,39.8649,4.955,45.33,Moderate,False,False,False
Paraguay,PRY,2021,8.576565,1.279359,99.82509,4.0,8.6564121,50.0,31.5315,3.1532,66.6667,23.8739,34.48,Low,False,False,False
Occupied Palestinian Territory,PSE,2021,3.092231,0.602376,23.255814,7.0,,35.1351,20.2703,58.5586,23.8739,60.8108,38.9,Moderate,False,False,True
French Polynesia,PYF,2021,0.9498,3.124014,32.857143,,,23.4234,51.3514,40.0901,50.2252,60.8108,40.93,Moderate,False,True,True
Qatar,QAT,2021,95.66718,35.587357,0.08421053,1.5,,81.982,100.0,89.6396,85.5856,60.8108,85.92,Very High,False,False,True
Réunion,REU,2021,4.102958,4.246802,30.795847,,,36.4865,63.5135,41.8919,50.2252,60.8108,47.74,Moderate,False,True,True
Romania,ROU,2021,79.32686,4.104127,44.545914,5.9,48.557812,78.8288,61.2613,28.8288,35.3604,13.0631,49.72,Moderate,False,False,False
Russia,RUS,2021,1755.54739,12.09865,19.959293,5.6,4.1177392,98.6486,91.4414,63.0631,38.964,26.5766,72.15,High,False,False,False
Rwanda,RWA,2021,1.754532,0.130333,60.0,10.9,13.825374,28.8288,5.4054,24.3243,9.9099,21.1712,19.41,Low,False,False,False
Saudi Arabia,SAU,2021,672.37987,18.702989,0.23274073,3.9,,96.8468,96.8468,88.7387,67.5676,60.8108,86.82,Very High,False,False,True
Sudan,SDN,2021,21.038215,0.460786,66.12417,0.5,,61.7117,16.6667,19.3694,90.5405,60.8108,46.35,Moderate,False,False,True
Senegal,SEN,2021,13.59791,0.80572,20.142603,6.5,,57.2072,23.8739,62.6126,28.1532,60.8108,47.89,Moderate,False,False,True
Singapore,SGP,2021,32.506889,5.471564,2.0755422,8.9,13.482553,67.5676,73.4234,86.036,13.7387,21.6216,60.69,High,False,False,False
Saint Helena,SHN,2021,0.013785,2.550917,,,,2.7027,46.3964,50.0,50.2252,60.8108,36.2,Moderate,True,True,True
Solomon Islands,SLB,2021,0.317925,0.449141,0.0,-0.6,,13.5135,16.2162,95.9459,92.7928,60.8108,51.28,Moderate,False,False,True
Sierra Leone,SLE,2021,1.299404,0.154312,90.4762,4.1,,25.6757,7.2072,7.6577,65.991,60.8108,27.04,Low,False,False,True
El Salvador,SLV,2021,7.204384,1.140987,79.57317,11.2,,45.4955,28.8288,12.6126,9.009,60.8108,30.0,Low,False,False,True
Somalia,SOM,2021,0.610374,0.035766,9.756098,3.3,,18.4685,2.2523,75.6757,73.8739,60.8108,42.07,Moderate,False,False,True
Saint Pierre and Miquelon,SPM,2021,0.062033,10.544484,0.0,,,4.5045,89.6396,95.9459,50.2252,60.8108,56.88,High,False,True,True
Serbia,SRB,2021,30.868986,4.230501,33.43219,7.5,,66.2162,63.0631,39.1892,20.2703,60.8108,51.4,Moderate,False,False,True
South Sudan,SSD,2021,1.58206,0.147192,1.754386,5.3,,27.4775,6.3063,86.4865,41.4414,60.8108,43.42,Moderate,False,False,True
Sao Tome and Principe,STP,2021,0.131978,0.591547,10.0,1.9,,6.3063,19.3694,74.7748,82.8829,60.8108,42.97,Moderate,False,False,True
Suriname,SUR,2021,2.793206,4.556728,50.49505,-2.7,,33.7838,65.7658,27.4775,96.6216,60.8108,50.73,Moderate,False,False,True
Slovakia,SVK,2021,35.308218,6.4814,23.57262,4.9,62.04295,68.9189,78.8288,57.2072,57.8829,10.8108,60.51,High,False,False,False
Slovenia,SVN,2021,12.54933,5.921143,34.89416,8.2,88.713989,55.4054,76.1261,37.8378,16.2162,4.5045,44.19,Moderate,False,False,False
Sweden,SWE,2021,35.848949,3.424918,67.3808,6.1,90.3162,69.3694,54.5045,18.018,33.3333,4.0541,41.62,Moderate,False,False,False
Swaziland,SWZ,2021,1.087219,0.911889,94.5946,7.9,,23.8739,25.6757,5.8559,17.7928,60.8108,22.51,Low,False,False,True
Sint Maarten (Dutch part),SXM,2021,0.647902,14.711011,,,,18.9189,94.5946,50.0,50.2252,60.8108,50.71,Moderate,True,True,True
Seychelles,SYC,2021,0.568279,5.337406,12.307693,2.5,,18.018,72.0721,72.973,79.2793,60.8108,56.04,High,False,False,True
Syria,SYR,2021,27.00077,1.266193,4.534606,3.4,,64.8649,30.1802,83.3333,72.2973,60.8108,63.25,High,False,False,True
Turks and Caicos Islands,TCA,2021,0.341183,7.562677,0.0,,,14.4144,81.5315,95.9459,50.2252,60.8108,58.23,High,False,True,True
Chad,TCD,2021,1.939918,0.112919,3.2258065,-1.2,,29.7297,4.5045,84.2342,94.5946,60.8108,51.15,Moderate,False,False,True
Togo,TGO,2021,2.34202,0.270916,26.984127,6.0,,31.982,11.7117,45.045,34.4595,60.8108,34.45,Low,False,False,True
Thailand,THA,2021,278.495695,3.889545,14.506635,1.5,,90.0901,58.5586,68.9189,85.5856,60.8108,74.89,High,False,False,True
Tajikistan,TJK,2021,10.336408,1.060138,91.23163,9.4,,51.3514,27.4775,7.2072,12.1622,60.8108,30.61,Low,False,False,True
Turkmenistan,TKM,2021,83.006808,13.088727,0.0,4.6,,80.1802,92.3423,95.9459,61.2613,60.8108,81.78,Very High,False,False,True
Timor-Leste,TLS,2021,0.736328,0.557426,0.0,2.9,,22.0721,18.9189,95.9459,77.7027,60.8108,52.13,Moderate,False,False,True
Tonga,TON,2021,0.174859,1.649345,12.5,-2.7,,9.6847,35.1351,72.0721,96.6216,60.8108,48.52,Moderate,False,False,True
Trinidad and Tobago,TTO,2021,36.124037,23.677599,0.11454754,-1.0,,69.8198,98.6486,89.1892,93.9189,60.8108,83.14,Very High,False,False,True
Tunisia,TUN,2021,31.582747,2.575462,4.7778306,4.4,,66.6667,47.2973,81.982,63.7387,60.8108,65.6,High,False,False,True
Turkey,TUR,2021,446.204185,5.263368,35.32963,11.4,9.3701305,94.5946,71.6216,36.9369,8.1081,22.973,55.45,High,False,False,False
Tuvalu,TUV,2021,0.007948,0.7094,,1.8,,1.8018,22.973,50.0,83.5586,60.8108,36.25,Moderate,True,False,True
Taiwan,TWN,2021,282.856073,11.854867,5.438749,6.5,,90.5405,90.5405,80.1802,28.1532,60.8108,75.62,Very High,False,False,True
Tanzania,TZA,2021,13.058865,0.205366,44.675644,4.9,,56.3063,8.5586,28.3784,57.8829,60.8108,40.46,Moderate,False,False,True
Uganda,UGA,2021,5.780464,0.126063,97.045456,5.7,15.91996,42.7928,4.955,4.955,37.6126,19.8198,22.69,Low,False,False,False
Ukraine,UKR,2021,201.857716,4.637058,14.038017,3.4,-2.6369243,86.9369,66.2162,69.3694,72.2973,94.5946,76.97,Very High,False,False,False
Uruguay,URY,2021,6.737872,1.966539,78.06574,5.3,16.260715,43.6937,40.0901,13.964,41.4414,18.9189,32.73,Low,False,False,False
USA,USA,2021,5007.335889,14.858668,20.749863,5.9,,99.5495,95.045,62.1622,35.3604,60.8108,75.8,Very High,False,False,True
Uzbekistan,UZB,2021,121.631478,3.568847,8.46141,7.4,,83.7838,55.4054,76.1261,20.9459,60.8108,64.47,High,False,False,True
Saint Vincent and the Grenadines,VCT,2021,0.21367,2.047981,25.0,0.8,,10.3604,40.5405,55.8559,89.6396,60.8108,44.71,Moderate,False,False,True
Venezuela,VEN,2021,79.746599,2.827907,64.48549,1.0,,79.2793,50.0,20.7207,88.7387,60.8108,58.36,High,False,False,True
British Virgin Islands,VGB,2021,0.158529,5.093802,0.0,,,7.8829,70.7207,95.9459,50.2252,60.8108,54.11,Moderate,False,True,True
Viet Nam,VNM,2021,326.013668,3.344827,42.578747,2.6,,91.4414,53.6036,30.1802,78.6036,60.8108,63.57,High,False,False,True
Vanuatu,VUT,2021,0.174859,0.547911,28.571428,0.6,,9.6847,17.5676,44.5946,90.0901,60.8108,37.16,Moderate,False,False,True
Wallis and Futuna Islands,WLF,2021,0.027818,2.392571,,,,3.6036,44.5946,50.0,50.2252,60.8108,36.11,Moderate,True,True,True
Samoa,WSM,2021,0.29408,1.344282,35.294117,-7.1,,12.6126,31.982,37.3874,98.1982,60.8108,40.34,Moderate,False,False,True
Yemen,YEM,2021,12.476597,0.378289,17.045456,-1.0,,54.955,14.8649,66.6667,93.9189,60.8108,56.3,High,False,False,True
South Africa,ZAF,2021,435.928899,7.339827,7.5627236,4.7,16.014624,94.1441,80.6306,77.4775,59.4595,19.3694,74.59,High,False,False,False
Zambia,ZMB,2021,7.67618,0.394194,92.207794,4.6,2.3239043,47.2973,15.3153,6.3063,61.2613,27.027,30.72,Low,False,False,False
